(llama3-finetune) rajmadras75@Rajeshs-MacBook-Air finetune % python3 finetune_llama.py
4.52.3
/opt/anaconda3/envs/llama3-finetune/lib/python3.11/site-packages/transformers/__init__.py
3.11.11 (main, Dec 11 2024, 10:25:04) [Clang 14.0.6 ]
/opt/anaconda3/envs/llama3-finetune/lib/python3.11/site-packages/transformers/training_args.py:1577: FutureWarning: using `no_cuda` is deprecated and will be removed in version 5.0 of 🤗 Transformers. Use `use_cpu` instead
  warnings.warn(
  0%|                                                                                                                                                  | 0/4220 [00:00<?, ?it/s]`loss_type=None` was set in the config but it is unrecognised.Using the default loss: `ForCausalLMLoss`.
{'loss': 2.9287, 'grad_norm': 3.421931743621826, 'learning_rate': 0.0001995734597156398, 'epoch': 0.0}                                                                          
{'loss': 2.34, 'grad_norm': 4.412856578826904, 'learning_rate': 0.00019909952606635072, 'epoch': 0.01}                                                                          
{'loss': 2.1914, 'grad_norm': 4.4340596199035645, 'learning_rate': 0.00019862559241706163, 'epoch': 0.01}                                                                       
{'loss': 2.0967, 'grad_norm': 3.8191158771514893, 'learning_rate': 0.00019815165876777252, 'epoch': 0.02}                                                                       
{'loss': 2.0322, 'grad_norm': 4.246626377105713, 'learning_rate': 0.0001976777251184834, 'epoch': 0.02}                                                                         
{'loss': 1.9335, 'grad_norm': 3.522622585296631, 'learning_rate': 0.00019720379146919432, 'epoch': 0.03}                                                                        
{'loss': 1.9449, 'grad_norm': 3.617658853530884, 'learning_rate': 0.00019672985781990523, 'epoch': 0.03}                                                                        
{'loss': 1.877, 'grad_norm': 3.243818759918213, 'learning_rate': 0.00019625592417061612, 'epoch': 0.04}                                                                         
{'loss': 1.8715, 'grad_norm': 3.2301130294799805, 'learning_rate': 0.00019578199052132703, 'epoch': 0.04}                                                                       
{'loss': 1.8219, 'grad_norm': 2.9708023071289062, 'learning_rate': 0.00019530805687203792, 'epoch': 0.05}                                                                       
{'loss': 1.8784, 'grad_norm': 2.8863484859466553, 'learning_rate': 0.00019483412322274883, 'epoch': 0.05}                                                                       
{'loss': 1.8599, 'grad_norm': 3.0001602172851562, 'learning_rate': 0.00019436018957345972, 'epoch': 0.06}                                                                       
{'loss': 1.8172, 'grad_norm': 2.834932565689087, 'learning_rate': 0.00019388625592417063, 'epoch': 0.06}                                                                        
{'loss': 1.7477, 'grad_norm': 3.193690538406372, 'learning_rate': 0.00019341232227488154, 'epoch': 0.07}                                                                        
{'loss': 1.8122, 'grad_norm': 2.5476715564727783, 'learning_rate': 0.00019293838862559243, 'epoch': 0.07}                                                                       
{'loss': 1.7357, 'grad_norm': 2.61763596534729, 'learning_rate': 0.00019246445497630332, 'epoch': 0.08}                                                                         
{'loss': 1.7401, 'grad_norm': 2.6675913333892822, 'learning_rate': 0.00019199052132701423, 'epoch': 0.08}                                                                       
{'loss': 1.7466, 'grad_norm': 3.2814419269561768, 'learning_rate': 0.00019151658767772514, 'epoch': 0.09}                                                                       
{'loss': 1.7054, 'grad_norm': 2.7887966632843018, 'learning_rate': 0.00019104265402843603, 'epoch': 0.09}                                                                       
{'loss': 1.7217, 'grad_norm': 2.2516908645629883, 'learning_rate': 0.00019056872037914691, 'epoch': 0.09}                                                                       
{'loss': 1.6737, 'grad_norm': 2.7705416679382324, 'learning_rate': 0.00019009478672985783, 'epoch': 0.1}                                                                        
